RNF145	JMJD1C
RNF145	MARCH6
CELF5	PAIP2B
RBPMS	SNRPD3
RBPMS	CTBP2
RBPMS	ATXN1
ZYG11B	ZER1
SLC25A16	MYL12B
SLC25A16	MYL5
SLC25A16	SRC
SLC25A16	IGF1R
SLC25A16	CDC5L
SLC25A16	TNS1
SLC25A16	RAB2A
SLC25A16	MTOR
SLC25A16	RUFY1
SLC25A16	MAP2K7
SLC25A16	RUFY2
MEF2BNB	AP3D1
MEF2BNB	RFXANK
MEF2BNB	KLC2
MEF2BNB	ARL8B
TSPAN3	TSPAN31
TSPAN3	RTN2
UNC13C	RAB3A
UNC13C	CAMK1G
CUX2	XBP1
SATB2	CHD3
SATB2	CALB2
SATB2	SEMA5A
SATB2	CBX5
SATB2	MSX1
SATB2	CUX2
SLC5A3	PLLP
DUSP26	SLC6A2
SPIRE1	ANXA2
SPIRE1	FHOD1
SPIRE1	INF2
SYT17	RAB3A
SYT17	NCF1
SYT17	SYN1
SYT17	VAMP2
PDP1	CARS
PDP1	AXIN1
PDP1	PCDH8
PDP1	PPEF1
PDP1	SOS2
PDP1	OGDH
PDP1	PPM1J
SQRDL	CAT
SQRDL	OGDH
EDA	CAT
EDA	CD163
EDA	LTBP3
EDA	FOS
EDA	ZNF652
EDA	AFF2
EDA	DDIT4
TTLL5	STRN
TTLL5	FKBP4
TAPT1	POGK
TAPT1	SMPD3
SAP25	SAP30
DNAJC12	TMEM132A
SCARF2	KLKB1
SCARF2	KLHL22
SCARF2	FBN2
ANKRD49	EMC4
ANKRD49	BECN1
ANKRD49	FCRLA
ANKRD49	RFXANK
ANKRD49	EIF3K
ANKRD49	ATG7
LARP4	EFCAB14
LARP4	DDX18
LARP4	SYNCRIP
LARP4	SREK1
LARP4	NCBP2
LARP4	LIMA1
LARP4	PAIP2B
SPTLC2	CERK
BCAM	SMARCC2
BCAM	HCN2
CLK4	SRSF6
CCPG1	DISP2
CCPG1	NISCH
CCPG1	PARPBP
SEPN1	GPX4
GLYR1	CAT
GLYR1	DDX18
GLYR1	AASDHPPT
RIMS3	RAB3A
RIMS3	PPFIA3
RIMS3	GRIN1
RIMS3	NRXN2
RIMS3	CNTNAP2
